Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DiskSpaceService\DiskSpaceService.csproj,File,DiskSpaceService\DiskSpaceService.csproj,,,Microsoft.Extensions.Hosting 8.0.1,,,,,"Microsoft.Extensions.Hosting, 8.0.1  Recommendation:  Remove Microsoft.Extensions.Hosting, and replace with new package Microsoft.Extensions.Hosting 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DiskSpaceService\DiskSpaceService.csproj,File,DiskSpaceService\DiskSpaceService.csproj,,,Microsoft.Extensions.Hosting.WindowsServices 8.0.1,,,,,"Microsoft.Extensions.Hosting.WindowsServices, 8.0.1  Recommendation:  Remove Microsoft.Extensions.Hosting.WindowsServices, and replace with new package Microsoft.Extensions.Hosting.WindowsServices 10.0.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DiskSpaceService\DiskSpaceService.csproj,File,DiskSpaceService\DiskSpaceService.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DiskSpaceService\DiskSpaceService.csproj,File,DiskSpaceService\Services\Scheduling\NotificationLoop.cs,177,16,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await Task.Delay(TimeSpan.FromMinutes(1), token);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DiskSpaceService\DiskSpaceService.csproj,File,DiskSpaceService\Services\Worker.cs,92,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,"await Task.Delay(TimeSpan.FromSeconds(30), stoppingToken);"
